threads,time_per_event,event_rate
1,27.386952500000003,36513.73770046156
2,16.455195,60771.081716138884
3,11.78172,84877.25052029754
4,9.9242,100763.78952459643
5,8.678075,115232.92896178011
6,7.080895000000001,141225.08524699206
7,6.8946725,145039.5214566029
8,5.56604,179660.94386673468
9,7.029272499999999,142262.23268481912
10,5.9796875,167232.81944081525
11,6.538005000000001,152951.85610901183
12,5.7529650000000006,173823.41105847157
13,6.2334875,160423.8397847112
14,5.420395,184488.39983063965
15,5.447217500000001,183579.96536763952
16,5.13654,194683.58077616448